L02_V001,2550,2024
L02_V001,3750,2024
L02_V001,3725,2024
L02_V001,3775,2024
L02_V001,3700,2024
L02_V001,3800,2024
L02_V001,3675,2024
L02_V001,3825,2024
L02_V001,3650,2024
L02_V001,3850,2024
L02_V001,3625,2024
L02_V001,3875,2024
L02_V001,3600,2024
L02_V001,3900,2024
L02_V001,3575,2024
L02_V001,3925,2024
L02_V001,3550,2024
L02_V001,3950,2024
L02_V001,3525,2024
L02_V001,3975,2024
L02_V001,3500,2024
L02_V001,4000,2024
L02_V001,3475,2024
L02_V001,4025,2024
L02_V001,3450,2024
L02_V001,4050,2024
L02_V001,3425,2024
L02_V001,4075,2024
L02_V001,3400,2024
L02_V001,4100,2024
L02_V001,3375,2024
L02_V001,4125,2024
L02_V001,3350,2024
L02_V001,4150,2024
L02_V001,3325,2024
L02_V001,4175,2024
L02_V001,3300,2024
L02_V001,4200,2024
L02_V001,3275,2024
L02_V001,4225,2024
L02_V001,3250,2024
L02_V001,4250,2024
L02_V001,3225,2024
L02_V001,4275,2024
L02_V001,3200,2024
L02_V001,4300,2024
L02_V001,3175,2024
L02_V001,4325,2024
L02_V001,3150,2024
L02_V001,4350,2024
L02_V001,3125,2024
L02_V001,4375,2024
L02_V001,3100,2024
L02_V001,4400,2024
L02_V001,3075,2024
L02_V001,4425,2024
L02_V001,3050,2024
L02_V001,4450,2024
L02_V001,3025,2024
L02_V001,4475,2024
L02_V001,3000,2024
L02_V001,4500,2024
L02_V001,2975,2024
L02_V001,4525,2024
L02_V001,2950,2024
L02_V001,4550,2024
L02_V001,2925,2024
L02_V001,4575,2024
L02_V001,2900,2024
L02_V001,4600,2024
L02_V001,2875,2024
L02_V001,4625,2024
L02_V001,2850,2024
L02_V001,4650,2024
L02_V001,2825,2024
L02_V001,4675,2024
L02_V001,2800,2024
L02_V001,4700,2024
L02_V001,2775,2024
L02_V001,4725,2024
L02_V001,2750,2024
L02_V001,4750,2024
L02_V001,2725,2024
L02_V001,4775,2024
L02_V001,2700,2024
L02_V001,4800,2024
L02_V001,2675,2024
L02_V001,4825,2024
L02_V001,2650,2024
L02_V001,4850,2024
L02_V001,2625,2024
L02_V001,4875,2024
L02_V001,2600,2024
L02_V001,4900,2024
L02_V001,2575,2024
L02_V001,4925,2024
L02_V001,2550,2024
L02_V001,4950,2024
L02_V001,2525,2024
L02_V001,4975,2024
